datetime,load_MW
2025-01-06 06:00:00+00:00,62902.0
2025-01-06 07:00:00+00:00,63294.0
2025-01-06 08:00:00+00:00,63787.0
2025-01-06 09:00:00+00:00,64476.0
2025-01-06 10:00:00+00:00,64925.0
2025-01-06 11:00:00+00:00,65244.0
2025-01-06 12:00:00+00:00,65830.0
2025-01-06 13:00:00+00:00,66110.0
2025-01-06 14:00:00+00:00,66209.0
2025-01-06 15:00:00+00:00,66282.0
2025-01-06 16:00:00+00:00,66672.0
2025-01-06 17:00:00+00:00,66904.0
2025-01-06 18:00:00+00:00,67020.0
2025-01-06 19:00:00+00:00,67586.0
2025-01-06 20:00:00+00:00,68126.0
2025-01-06 21:00:00+00:00,68326.0
2025-01-06 22:00:00+00:00,69247.0
2025-01-06 23:00:00+00:00,68798.0
2025-01-07 00:00:00+00:00,68311.0
2025-01-07 01:00:00+00:00,67696.0
2025-01-07 02:00:00+00:00,67141.0
2025-01-07 03:00:00+00:00,66538.0
2025-01-07 04:00:00+00:00,66404.0
2025-01-07 05:00:00+00:00,65947.0
2025-01-07 06:00:00+00:00,65583.0
2025-01-07 07:00:00+00:00,65035.0
2025-01-07 08:00:00+00:00,64820.0
2025-01-07 09:00:00+00:00,64326.0
2025-01-07 10:00:00+00:00,63991.0
2025-01-07 11:00:00+00:00,63657.0
2025-01-07 12:00:00+00:00,63442.0
2025-01-07 13:00:00+00:00,63321.0
2025-01-07 14:00:00+00:00,63473.0
2025-01-07 15:00:00+00:00,63537.0
2025-01-07 16:00:00+00:00,64172.0
2025-01-07 17:00:00+00:00,64818.0
2025-01-07 18:00:00+00:00,65749.0
2025-01-07 19:00:00+00:00,66486.0
2025-01-07 20:00:00+00:00,67069.0
2025-01-07 21:00:00+00:00,67662.0
2025-01-07 22:00:00+00:00,68281.0
2025-01-07 23:00:00+00:00,68906.0
2025-01-08 00:00:00+00:00,68992.0
2025-01-08 01:00:00+00:00,68767.0
2025-01-08 02:00:00+00:00,68201.0
2025-01-08 03:00:00+00:00,67533.0
2025-01-08 04:00:00+00:00,66661.0
2025-01-08 05:00:00+00:00,65573.0
2025-01-08 06:00:00+00:00,64742.0
2025-01-08 07:00:00+00:00,64016.0
2025-01-08 08:00:00+00:00,63437.0
2025-01-08 09:00:00+00:00,62608.0
2025-01-08 10:00:00+00:00,61979.0
2025-01-08 11:00:00+00:00,61273.0
2025-01-08 12:00:00+00:00,62360.0
2025-01-08 13:00:00+00:00,62340.0
2025-01-08 14:00:00+00:00,63837.0
2025-01-08 15:00:00+00:00,63624.0
2025-01-08 16:00:00+00:00,63433.0
2025-01-08 17:00:00+00:00,62879.0
2025-01-08 18:00:00+00:00,63230.0
2025-01-08 19:00:00+00:00,62515.0
2025-01-08 20:00:00+00:00,62122.0
2025-01-08 21:00:00+00:00,61149.0
2025-01-08 22:00:00+00:00,59750.0
2025-01-08 23:00:00+00:00,58684.0
